date,region,disease,cases,deaths,recovered,population
2022-05-13,Maharashtra,Dengue,0.0,0,0,120000000
2022-05-20,Maharashtra,Dengue,,2,293,120000000
2022-05-27,Maharashtra,Dengue,1269.0,17,1252,120000000
2022-06-03,Maharashtra,Dengue,3101.0,17,3084,120000000
2022-06-10,Maharashtra,Dengue,3754.0,30,3724,120000000
2022-06-17,Maharashtra,Dengue,7081.0,80,7001,120000000
2022-06-24,Maharashtra,Dengue,9314.0,61,9253,120000000
2022-07-01,Maharashtra,Dengue,10945.0,87,10858,120000000
2022-07-08,Maharashtra,Dengue,17685.0,192,17493,120000000
2022-07-15,Maharashtra,Dengue,25983.0,306,25677,120000000
2022-07-22,Maharashtra,Dengue,27328.0,251,27077,120000000
2022-07-29,Maharashtra,Dengue,31510.0,272,31238,120000000
2022-08-05,Maharashtra,Dengue,31704.0,212,31492,120000000
2022-08-12,Maharashtra,Dengue,40277.0,582,39695,120000000
2022-08-19,Maharashtra,Dengue,43694.0,422,43272,120000000
2022-08-26,Maharashtra,Dengue,46546.0,505,46041,120000000
2022-09-02,Maharashtra,Dengue,55484.0,333,55151,120000000
2022-09-09,Maharashtra,Dengue,52250.0,545,51705,120000000
2022-09-16,Maharashtra,Dengue,,622,55631,120000000
2022-09-23,Maharashtra,Dengue,62472.0,424,62048,120000000
2022-09-30,Maharashtra,Dengue,83680.0,446,83234,120000000
2022-10-07,Maharashtra,Dengue,82511.0,695,81816,120000000
2022-10-14,Maharashtra,Dengue,69500.0,795,68705,120000000
2022-10-21,Maharashtra,Dengue,87685.0,863,86822,120000000
2022-10-28,Maharashtra,Dengue,76176.0,789,75387,120000000
2022-11-04,Maharashtra,Dengue,67851.0,776,67075,120000000
2022-11-11,Maharashtra,Dengue,96624.0,1114,95510,120000000
2022-11-18,Maharashtra,Dengue,79945.0,1027,78918,120000000
2022-11-25,Maharashtra,Dengue,505421.0,5581,499840,120000000
2022-12-02,Maharashtra,Dengue,78655.0,1035,77620,120000000
2022-12-09,Maharashtra,Dengue,81437.0,1055,80382,120000000
2022-12-16,Maharashtra,Dengue,61329.0,748,60581,120000000
2022-12-23,Maharashtra,Dengue,57200.0,332,56868,120000000
2022-12-30,Maharashtra,Dengue,63259.0,942,62317,120000000
2023-01-06,Maharashtra,Dengue,61034.0,799,60235,120000000
2023-01-13,Maharashtra,Dengue,54351.0,447,53904,120000000
2023-01-20,Maharashtra,Dengue,45253.0,664,44589,120000000
2023-01-27,Maharashtra,Dengue,58505.0,817,57688,120000000
2023-02-03,Maharashtra,Dengue,42005.0,450,41555,120000000
2023-02-10,Maharashtra,Dengue,43876.0,644,43232,120000000
2023-02-17,Maharashtra,Dengue,34699.0,342,34357,120000000
2023-02-24,Maharashtra,Dengue,27340.0,314,27026,120000000
2023-03-03,Maharashtra,Dengue,24965.0,154,24811,120000000
2023-03-10,Maharashtra,Dengue,142618.0,1462,141156,120000000
2023-03-17,Maharashtra,Dengue,16449.0,134,16315,120000000
2023-03-24,Maharashtra,Dengue,10952.0,72,10880,120000000
2023-03-31,Maharashtra,Dengue,12000.0,142,11858,120000000
2023-04-07,Maharashtra,Dengue,5792.0,71,5721,120000000
2023-04-14,Maharashtra,Dengue,4539.0,33,4506,120000000
2023-04-21,Maharashtra,Dengue,2988.0,27,2961,120000000
2023-04-28,Maharashtra,Dengue,1361.0,10,1351,120000000
2023-05-05,Maharashtra,Dengue,351.0,2,349,120000000
2023-05-12,Maharashtra,Dengue,0.0,0,0,120000000
2023-05-19,Maharashtra,Dengue,313.0,2,311,120000000
2023-05-26,Maharashtra,Dengue,,13,1255,120000000
2023-06-02,Maharashtra,Dengue,2518.0,24,2494,120000000
2023-06-09,Maharashtra,Dengue,11637.0,99,11538,120000000
2023-06-16,Maharashtra,Dengue,7652.0,60,7592,120000000
2023-06-23,Maharashtra,Dengue,10360.0,72,10288,120000000
2023-06-30,Maharashtra,Dengue,14956.0,118,14838,120000000
2023-07-07,Maharashtra,Dengue,14087.0,124,13963,120000000
2023-07-14,Maharashtra,Dengue,24274.0,233,24041,120000000
2023-07-21,Maharashtra,Dengue,26185.0,308,25877,120000000
2023-07-28,Maharashtra,Dengue,34136.0,287,33849,120000000
2023-08-04,Maharashtra,Dengue,33004.0,333,32671,120000000
2023-08-11,Maharashtra,Dengue,47748.0,683,47065,120000000
2023-08-18,Maharashtra,Dengue,50814.0,746,50068,120000000
2023-08-25,Maharashtra,Dengue,51129.0,506,50623,120000000
2023-09-01,Maharashtra,Dengue,64459.0,560,63899,120000000
2023-09-08,Maharashtra,Dengue,48519.0,294,48225,120000000
2023-09-15,Maharashtra,Dengue,70111.0,844,69267,120000000
2023-09-22,Maharashtra,Dengue,66252.0,493,65759,120000000
2023-09-29,Maharashtra,Dengue,81632.0,724,80908,120000000
2023-10-06,Maharashtra,Dengue,65311.0,358,64953,120000000
2023-10-13,Maharashtra,Dengue,656832.0,3803,653029,120000000
2023-10-20,Maharashtra,Dengue,93490.0,557,92933,120000000
2023-10-27,Maharashtra,Dengue,64365.0,744,63621,120000000
2023-11-03,Maharashtra,Dengue,74371.0,577,73794,120000000
2023-11-10,Maharashtra,Dengue,79073.0,597,78476,120000000
2023-11-17,Maharashtra,Dengue,92491.0,503,91988,120000000
2023-11-24,Maharashtra,Dengue,86757.0,893,85864,120000000
2023-12-01,Maharashtra,Dengue,69151.0,803,68348,120000000
2023-12-08,Maharashtra,Dengue,77936.0,560,77376,120000000
2023-12-15,Maharashtra,Dengue,66520.0,540,65980,120000000
2023-12-22,Maharashtra,Dengue,76916.0,1055,75861,120000000
2021-01-01,Maharashtra,Malaria,16083.0,117,15966,120000000
2021-01-08,Maharashtra,Malaria,12374.0,81,12293,120000000
2021-01-15,Maharashtra,Malaria,17207.0,117,17090,120000000
2021-01-22,Maharashtra,Malaria,14725.0,69,14656,120000000
2021-01-29,Maharashtra,Malaria,15507.0,49,15458,120000000
2021-02-05,Maharashtra,Malaria,14104.0,83,14021,120000000
2021-02-12,Maharashtra,Malaria,11320.0,35,11285,120000000
2021-02-19,Maharashtra,Malaria,79205.0,490,78715,120000000
2021-02-26,Maharashtra,Malaria,9991.0,58,9933,120000000
2021-03-05,Maharashtra,Malaria,10089.0,42,10047,120000000
2021-03-12,Maharashtra,Malaria,37330.0,172,37158,120000000
2021-03-19,Maharashtra,Malaria,8165.0,51,8114,120000000
2021-03-26,Maharashtra,Malaria,5412.0,17,5395,120000000
2021-04-02,Maharashtra,Malaria,4536.0,32,4504,120000000
2021-04-09,Maharashtra,Malaria,4418.0,21,4397,120000000
2021-04-16,Maharashtra,Malaria,2813.0,8,2805,120000000
2021-04-23,Maharashtra,Malaria,,23,3203,120000000
2021-04-30,Maharashtra,Malaria,2248.0,10,2238,120000000
2021-05-07,Maharashtra,Malaria,1545.0,4,1541,120000000
2021-05-14,Maharashtra,Malaria,842.0,2,840,120000000
2021-05-21,Maharashtra,Malaria,422.0,2,420,120000000
2021-05-28,Maharashtra,Malaria,249.0,1,248,120000000
2021-06-04,Maharashtra,Malaria,49.0,0,49,120000000
2021-06-11,Maharashtra,Malaria,0.0,0,0,120000000
2021-06-18,Maharashtra,Malaria,308.0,0,308,120000000
2021-06-25,Maharashtra,Malaria,272.0,1,271,120000000
2021-07-02,Maharashtra,Malaria,452.0,3,449,120000000
2021-07-09,Maharashtra,Malaria,794.0,4,790,120000000
2021-07-16,Maharashtra,Malaria,1153.0,8,1145,120000000
2021-07-23,Maharashtra,Malaria,1729.0,8,1721,120000000
2021-07-30,Maharashtra,Malaria,2625.0,14,2611,120000000
2021-08-06,Maharashtra,Malaria,4121.0,18,4103,120000000
2021-08-13,Maharashtra,Malaria,3880.0,22,3858,120000000
2021-08-20,Maharashtra,Malaria,5986.0,15,5971,120000000
2021-08-27,Maharashtra,Malaria,6122.0,30,6092,120000000
2021-09-03,Maharashtra,Malaria,7555.0,48,7507,120000000
2021-09-10,Maharashtra,Malaria,7421.0,38,7383,120000000
2021-09-17,Maharashtra,Malaria,7360.0,39,7321,120000000
2021-09-24,Maharashtra,Malaria,8798.0,61,8737,120000000
2021-10-01,Maharashtra,Malaria,12965.0,92,12873,120000000
2021-10-08,Maharashtra,Malaria,11747.0,59,11688,120000000
2021-10-15,Maharashtra,Malaria,14563.0,66,14497,120000000
2021-10-22,Maharashtra,Malaria,14614.0,78,14536,120000000
2021-10-29,Maharashtra,Malaria,11782.0,54,11728,120000000
2021-11-05,Maharashtra,Malaria,14629.0,97,14532,120000000
2021-11-12,Maharashtra,Malaria,17023.0,52,16971,120000000
2021-11-19,Maharashtra,Malaria,18463.0,122,18341,120000000
2021-11-26,Maharashtra,Malaria,14630.0,65,14565,120000000
2021-12-03,Maharashtra,Malaria,14246.0,95,14151,120000000
2021-12-10,Maharashtra,Malaria,17659.0,106,17553,120000000
2021-12-17,Maharashtra,Malaria,116413.0,734,115679,120000000
2021-12-24,Maharashtra,Malaria,154142.0,1048,153094,120000000
2021-12-31,Maharashtra,Malaria,14583.0,74,14509,120000000
2022-01-07,Maharashtra,Malaria,16349.0,116,16233,120000000
2022-01-14,Maharashtra,Malaria,15114.0,83,15031,120000000
2022-01-21,Maharashtra,Malaria,13135.0,71,13064,120000000
2022-01-28,Maharashtra,Malaria,11967.0,75,11892,120000000
2022-02-04,Maharashtra,Malaria,10855.0,61,10794,120000000
2022-02-11,Maharashtra,Malaria,11568.0,86,11482,120000000
2022-02-18,Maharashtra,Malaria,9686.0,40,9646,120000000
2022-02-25,Maharashtra,Malaria,10854.0,54,10800,120000000
2022-03-04,Maharashtra,Malaria,9128.0,59,9069,120000000
2022-03-11,Maharashtra,Malaria,7624.0,34,7590,120000000
2022-03-18,Maharashtra,Malaria,6170.0,21,6149,120000000
2022-03-25,Maharashtra,Malaria,4979.0,31,4948,120000000
2022-04-01,Maharashtra,Malaria,5629.0,18,5611,120000000
2022-04-08,Maharashtra,Malaria,4092.0,12,4080,120000000
2022-04-15,Maharashtra,Malaria,3631.0,27,3604,120000000
2022-04-22,Maharashtra,Malaria,21142.0,117,21025,120000000
2022-04-29,Maharashtra,Malaria,1973.0,14,1959,120000000
2022-05-06,Maharashtra,Malaria,1160.0,4,1156,120000000
2022-05-13,Maharashtra,Malaria,1035.0,7,1028,120000000
2022-05-20,Maharashtra,Malaria,438.0,2,436,120000000
2022-05-27,Maharashtra,Malaria,225.0,1,224,120000000
2022-06-03,Maharashtra,Malaria,50.0,0,50,120000000
2022-06-10,Maharashtra,Malaria,0.0,0,0,120000000
2022-06-17,Maharashtra,Malaria,50.0,0,50,120000000
2022-06-24,Maharashtra,Malaria,260.0,1,259,120000000
2022-07-01,Maharashtra,Malaria,1979.0,9,1970,120000000
2022-07-08,Maharashtra,Malaria,956.0,6,950,120000000
2022-07-15,Maharashtra,Malaria,1156.0,7,1149,120000000
2022-07-22,Maharashtra,Malaria,1994.0,9,1985,120000000
2022-07-29,Maharashtra,Malaria,11048.0,43,11005,120000000
2022-08-05,Maharashtra,Malaria,3621.0,14,3607,120000000
2022-08-12,Maharashtra,Malaria,4294.0,21,4273,120000000
2022-08-19,Maharashtra,Malaria,4767.0,32,4735,120000000
2022-08-26,Maharashtra,Malaria,5781.0,41,5740,120000000
2022-09-02,Maharashtra,Malaria,7848.0,53,7795,120000000
2022-09-09,Maharashtra,Malaria,6780.0,48,6732,120000000
2022-09-16,Maharashtra,Malaria,7704.0,54,7650,120000000
2022-09-23,Maharashtra,Malaria,8947.0,62,8885,120000000
2022-09-30,Maharashtra,Malaria,8721.0,48,8673,120000000
2022-10-07,Maharashtra,Malaria,12722.0,91,12631,120000000
2022-10-14,Maharashtra,Malaria,14805.0,41,14764,120000000
2022-10-21,Maharashtra,Malaria,14085.0,93,13992,120000000
2022-10-28,Maharashtra,Malaria,14361.0,74,14287,120000000
2022-11-04,Maharashtra,Malaria,13270.0,47,13223,120000000
2022-11-11,Maharashtra,Malaria,15272.0,84,15188,120000000
2022-11-18,Maharashtra,Malaria,16406.0,116,16290,120000000
2022-11-25,Maharashtra,Malaria,17194.0,86,17108,120000000
2022-12-02,Maharashtra,Malaria,18825.0,69,18756,120000000
2022-12-09,Maharashtra,Malaria,18388.0,125,18263,120000000
2022-12-16,Maharashtra,Malaria,17322.0,92,17230,120000000
2022-12-23,Maharashtra,Malaria,18256.0,50,18206,120000000
2022-12-30,Maharashtra,Malaria,18436.0,66,18370,120000000
2023-01-06,Maharashtra,Malaria,13137.0,39,13098,120000000
2023-01-13,Maharashtra,Malaria,12222.0,91,12131,120000000
2023-01-20,Maharashtra,Malaria,14700.0,107,14593,120000000
2023-01-27,Maharashtra,Malaria,14552.0,44,14508,120000000
2023-02-03,Maharashtra,Malaria,14973.0,74,14899,120000000
2023-02-10,Maharashtra,Malaria,12914.0,79,12835,120000000
2023-02-17,Maharashtra,Malaria,9770.0,32,9738,120000000
2023-02-24,Maharashtra,Malaria,10522.0,75,10447,120000000
2023-03-03,Maharashtra,Malaria,7754.0,48,7706,120000000
2023-03-10,Maharashtra,Malaria,6987.0,18,6969,120000000
2023-03-17,Maharashtra,Malaria,8014.0,53,7961,120000000
2023-03-24,Maharashtra,Malaria,44740.0,192,44548,120000000
2023-03-31,Maharashtra,Malaria,4286.0,17,4269,120000000
2023-04-07,Maharashtra,Malaria,3536.0,25,3511,120000000
2023-04-14,Maharashtra,Malaria,3038.0,18,3020,120000000
2023-04-21,Maharashtra,Malaria,2300.0,7,2293,120000000
2023-04-28,Maharashtra,Malaria,2112.0,13,2099,120000000
2023-05-05,Maharashtra,Malaria,1365.0,5,1360,120000000
2023-05-12,Maharashtra,Malaria,1055.0,6,1049,120000000
2023-05-19,Maharashtra,Malaria,427.0,1,426,120000000
2023-05-26,Maharashtra,Malaria,244.0,0,244,120000000
2023-06-02,Maharashtra,Malaria,59.0,0,59,120000000
2023-06-09,Maharashtra,Malaria,0.0,0,0,120000000
2023-06-16,Maharashtra,Malaria,47.0,0,47,120000000
2023-06-23,Maharashtra,Malaria,247.0,1,246,120000000
2023-06-30,Maharashtra,Malaria,444.0,2,442,120000000
2023-07-07,Maharashtra,Malaria,811.0,2,809,120000000
2023-07-14,Maharashtra,Malaria,1410.0,9,1401,120000000
2023-07-21,Maharashtra,Malaria,2239.0,7,2232,120000000
2023-07-28,Maharashtra,Malaria,2988.0,18,2970,120000000
2023-08-04,Maharashtra,Malaria,2930.0,13,2917,120000000
2023-08-11,Maharashtra,Malaria,4885.0,31,4854,120000000
2023-08-18,Maharashtra,Malaria,5533.0,23,5510,120000000
2023-08-25,Maharashtra,Malaria,5204.0,24,5180,120000000
2023-09-01,Maharashtra,Malaria,8045.0,24,8021,120000000
2023-09-08,Maharashtra,Malaria,25676.0,135,25541,120000000
2023-09-15,Maharashtra,Malaria,7423.0,36,7387,120000000
2023-09-22,Maharashtra,Malaria,10255.0,73,10182,120000000
2023-09-29,Maharashtra,Malaria,10782.0,79,10703,120000000
2023-10-06,Maharashtra,Malaria,12959.0,66,12893,120000000
2023-10-13,Maharashtra,Malaria,12610.0,57,12553,120000000
2023-10-20,Maharashtra,Malaria,13820.0,45,13775,120000000
2023-10-27,Maharashtra,Malaria,12113.0,50,12063,120000000
2023-11-03,Maharashtra,Malaria,15513.0,87,15426,120000000
2023-11-10,Maharashtra,Malaria,15902.0,41,15861,120000000
2023-11-17,Maharashtra,Malaria,12889.0,43,12846,120000000
2023-11-24,Maharashtra,Malaria,13354.0,73,13281,120000000
2023-12-01,Maharashtra,Malaria,15970.0,119,15851,120000000
2023-12-08,Maharashtra,Malaria,13858.0,99,13759,120000000
2023-12-15,Maharashtra,Malaria,14499.0,43,14456,120000000
2023-12-22,Maharashtra,Malaria,38771.0,280,38491,120000000
2021-01-01,Maharashtra,Cholera,35209.0,522,34687,120000000
2021-01-08,Maharashtra,Cholera,40122.0,724,39398,120000000
2021-01-15,Maharashtra,Cholera,35596.0,671,34925,120000000
2021-01-22,Maharashtra,Cholera,43074.0,797,42277,120000000
2021-01-29,Maharashtra,Cholera,36802.0,412,36390,120000000
2021-02-05,Maharashtra,Cholera,39614.0,776,38838,120000000
2021-02-12,Maharashtra,Cholera,31500.0,475,31025,120000000
2021-02-19,Maharashtra,Cholera,32132.0,909,31223,120000000
2021-02-26,Maharashtra,Cholera,29793.0,330,29463,120000000
2021-03-05,Maharashtra,Cholera,28180.0,354,27826,120000000
2021-03-12,Maharashtra,Cholera,25836.0,541,25295,120000000
2021-03-19,Maharashtra,Cholera,26423.0,413,26010,120000000
2021-03-26,Maharashtra,Cholera,22522.0,353,22169,120000000
2021-04-02,Maharashtra,Cholera,20262.0,307,19955,120000000
2021-04-09,Maharashtra,Cholera,15859.0,464,15395,120000000
2021-04-16,Maharashtra,Cholera,14005.0,248,13757,120000000
2021-04-23,Maharashtra,Cholera,12578.0,186,12392,120000000
2021-04-30,Maharashtra,Cholera,11417.0,127,11290,120000000
2021-05-07,Maharashtra,Cholera,7339.0,175,7164,120000000
2021-05-14,Maharashtra,Cholera,5931.0,143,5788,120000000
2021-05-21,Maharashtra,Cholera,5501.0,128,5373,120000000
2021-05-28,Maharashtra,Cholera,4192.0,62,4130,120000000
2021-06-04,Maharashtra,Cholera,2400.0,24,2376,120000000
2021-06-11,Maharashtra,Cholera,1218.0,27,1191,120000000
2021-06-18,Maharashtra,Cholera,730.0,20,710,120000000
2021-06-25,Maharashtra,Cholera,177.0,2,175,120000000
2021-07-02,Maharashtra,Cholera,0.0,0,0,120000000
2021-07-09,Maharashtra,Cholera,136.0,2,134,120000000
2021-07-16,Maharashtra,Cholera,636.0,14,622,120000000
2021-07-23,Maharashtra,Cholera,1557.0,26,1531,120000000
2021-07-30,Maharashtra,Cholera,2840.0,42,2798,120000000
2021-08-06,Maharashtra,Cholera,8999.0,240,8759,120000000
2021-08-13,Maharashtra,Cholera,5895.0,75,5820,120000000
2021-08-20,Maharashtra,Cholera,7252.0,159,7093,120000000
2021-08-27,Maharashtra,Cholera,8289.0,199,8090,120000000
2021-09-03,Maharashtra,Cholera,13262.0,217,13045,120000000
2021-09-10,Maharashtra,Cholera,15863.0,369,15494,120000000
2021-09-17,Maharashtra,Cholera,16689.0,408,16281,120000000
2021-09-24,Maharashtra,Cholera,19889.0,281,19608,120000000
2021-10-01,Maharashtra,Cholera,119820.0,1647,118173,120000000
2021-10-08,Maharashtra,Cholera,102072.0,2130,99942,120000000
2021-10-15,Maharashtra,Cholera,21076.0,568,20508,120000000
2021-10-22,Maharashtra,Cholera,26696.0,385,26311,120000000
2021-10-29,Maharashtra,Cholera,27910.0,578,27332,120000000
2021-11-05,Maharashtra,Cholera,30852.0,401,30451,120000000
2021-11-12,Maharashtra,Cholera,39517.0,513,39004,120000000
2021-11-19,Maharashtra,Cholera,41746.0,1188,40558,120000000
2021-11-26,Maharashtra,Cholera,45749.0,858,44891,120000000
2021-12-03,Maharashtra,Cholera,38422.0,504,37918,120000000
2021-12-10,Maharashtra,Cholera,40321.0,457,39864,120000000
2021-12-17,Maharashtra,Cholera,35331.0,918,34413,120000000
2021-12-24,Maharashtra,Cholera,49296.0,1478,47818,120000000
2021-12-31,Maharashtra,Cholera,35514.0,610,34904,120000000
2022-01-07,Maharashtra,Cholera,43286.0,489,42797,120000000
2022-01-14,Maharashtra,Cholera,45541.0,1295,44246,120000000
2022-01-21,Maharashtra,Cholera,43643.0,453,43190,120000000
2022-01-28,Maharashtra,Cholera,33592.0,699,32893,120000000
2022-02-04,Maharashtra,Cholera,40764.0,596,40168,120000000
2022-02-11,Maharashtra,Cholera,38299.0,620,37679,120000000
2022-02-18,Maharashtra,Cholera,33185.0,786,32399,120000000
2022-02-25,Maharashtra,Cholera,32305.0,821,31484,120000000
2022-03-04,Maharashtra,Cholera,30470.0,699,29771,120000000
2022-03-11,Maharashtra,Cholera,28604.0,523,28081,120000000
2022-03-18,Maharashtra,Cholera,24299.0,561,23738,120000000
2022-03-25,Maharashtra,Cholera,26224.0,591,25633,120000000
2022-04-01,Maharashtra,Cholera,18417.0,245,18172,120000000
2022-04-08,Maharashtra,Cholera,16582.0,378,16204,120000000
2022-04-15,Maharashtra,Cholera,16665.0,450,16215,120000000
2022-04-22,Maharashtra,Cholera,11664.0,300,11364,120000000
2022-04-29,Maharashtra,Cholera,10822.0,300,10522,120000000
2022-05-06,Maharashtra,Cholera,9193.0,98,9095,120000000
2022-05-13,Maharashtra,Cholera,7124.0,163,6961,120000000
2022-05-20,Maharashtra,Cholera,5117.0,151,4966,120000000
2022-05-27,Maharashtra,Cholera,4226.0,94,4132,120000000
2022-06-03,Maharashtra,Cholera,2443.0,46,2397,120000000
2022-06-10,Maharashtra,Cholera,1251.0,36,1215,120000000
2022-06-17,Maharashtra,Cholera,561.0,13,548,120000000
2022-06-24,Maharashtra,Cholera,169.0,4,165,120000000
2022-07-01,Maharashtra,Cholera,0.0,0,0,120000000
2022-07-08,Maharashtra,Cholera,182.0,2,180,120000000
2022-07-15,Maharashtra,Cholera,714.0,19,695,120000000
2022-07-22,Maharashtra,Cholera,1116.0,28,1088,120000000
2022-07-29,Maharashtra,Cholera,2376.0,66,2310,120000000
2022-08-05,Maharashtra,Cholera,3062.0,33,3029,120000000
2022-08-12,Maharashtra,Cholera,5315.0,74,5241,120000000
2022-08-19,Maharashtra,Cholera,6126.0,143,5983,120000000
2022-08-26,Maharashtra,Cholera,9967.0,137,9830,120000000
2022-09-02,Maharashtra,Cholera,11469.0,146,11323,120000000
2022-09-09,Maharashtra,Cholera,12324.0,165,12159,120000000
2022-09-16,Maharashtra,Cholera,18527.0,436,18091,120000000
2022-09-23,Maharashtra,Cholera,20162.0,486,19676,120000000
2022-09-30,Maharashtra,Cholera,19577.0,226,19351,120000000
2022-10-07,Maharashtra,Cholera,19105.0,362,18743,120000000
2022-10-14,Maharashtra,Cholera,31174.0,749,30425,120000000
2022-10-21,Maharashtra,Cholera,33307.0,354,32953,120000000
2022-10-28,Maharashtra,Cholera,24796.0,318,24478,120000000
2022-11-04,Maharashtra,Cholera,35107.0,419,34688,120000000
2022-11-11,Maharashtra,Cholera,38932.0,832,38100,120000000
2022-11-18,Maharashtra,Cholera,40317.0,843,39474,120000000
2022-11-25,Maharashtra,Cholera,33015.0,674,32341,120000000
2022-12-02,Maharashtra,Cholera,44816.0,1165,43651,120000000
2022-12-09,Maharashtra,Cholera,44043.0,509,43534,120000000
2022-12-16,Maharashtra,Cholera,41981.0,600,41381,120000000
2022-12-23,Maharashtra,Cholera,38585.0,1105,37480,120000000
2022-12-30,Maharashtra,Cholera,47365.0,519,46846,120000000
2023-01-06,Maharashtra,Cholera,46247.0,1089,45158,120000000
2023-01-13,Maharashtra,Cholera,45651.0,746,44905,120000000
2023-01-20,Maharashtra,Cholera,43882.0,1161,42721,120000000
2023-01-27,Maharashtra,Cholera,40858.0,597,40261,120000000
2023-02-03,Maharashtra,Cholera,45997.0,1193,44804,120000000
2023-02-10,Maharashtra,Cholera,39902.0,1112,38790,120000000
2023-02-17,Maharashtra,Cholera,36388.0,978,35410,120000000
2023-02-24,Maharashtra,Cholera,27857.0,687,27170,120000000
